locus_id	chrom	start_gr1	end_gr1	start_bed0	end_bed	summit_gr1	summit_bed0	representative_sample	representative_group	representative_qvalue	representative_signal	representative_normalized_rank	AML_n_patients	PBMC_n_patients	AML_n_peak_positive	PBMC_n_peak_positive	AML_peak_fraction	PBMC_peak_fraction	AML_group_mean_RPGC	PBMC_group_mean_RPGC	AML_group_median_RPGC	PBMC_group_median_RPGC	peak_fraction_difference	mean_RPGC_difference	median_RPGC_difference
99	chr2	25361835	25362335	25361834	25362335	25362085	25362084	673	PBMC	10.4795	7.03376	0.9487179487179487	13	3	12	3	0.9230769230769231	1	10.726874344052028	14.242627214766786	7.283167820014877	8.172873866296339	-0.07692307692307687	-3.515752870714758	-0.8897060462814617
100	chr2	25362624	25363124	25362623	25363124	25362874	25362873	576	PBMC	12.67561	8.53396	0.7894736842105263	13	3	6	3	0.46153846153846156	1	7.126200714712408	8.416528788869252	5.393678942126428	8.266991351654905	-0.5384615384615384	-1.290328074156844	-2.873312409528477
101	chr2	25373341	25373841	25373340	25373841	25373591	25373590	673	PBMC	3.37231	3.72761	0.6025641025641026	13	3	0	1	0	0.3333333333333333	2.1018050268610446	3.5445894840472714	2.2514001537939747	1.7692893339012434	-0.3333333333333333	-1.4427844571862267	0.4821108198927313
102	chr2	25375736	25376236	25375735	25376236	25375986	25375985	566	AML	3.25111	4.33304	0.6875	13	3	2	0	0.15384615384615385	0	3.4162584219443053	2.23443727420317	2.2562153325109424	2.3917651495295846	0.15384615384615385	1.1818211477411351	-0.13554981701864222
103	chr2	25376796	25377296	25376795	25377296	25377046	25377045	1360	AML	9.75547	7.03469	0.9310344827586207	13	3	10	3	0.7692307692307693	1	9.873427661776121	13.254076601898996	5.433089262473131	12.965822495862158	-0.23076923076923073	-3.3806489401228745	-7.532733233389027
104	chr2	25387079	25387579	25387078	25387579	25387329	25387328	673	PBMC	3.89125	4.71032	0.7435897435897436	13	3	0	1	0	0.3333333333333333	1.85653831787452	2.9918826552763513	1.4655421853303434	1.9561655835477179	-0.3333333333333333	-1.1353443374018313	-0.49062339821737444
105	chr2	25398383	25398883	25398382	25398883	25398633	25398632	103	PBMC	2.44731	4.13565	0.09090909090909094	13	3	0	1	0	0.3333333333333333	1.189259010508517	2.5058649334999537	0.7500188450613422	3.164821804640536	-0.3333333333333333	-1.3166059229914366	-2.4148029595791938
106	chr2	25400205	25400705	25400204	25400705	25400455	25400454	673	PBMC	4.06481	5.00637	0.782051282051282	13	3	0	1	0	0.3333333333333333	1.1617525552945553	2.337175135206399	1.2819498084976289	1.458208719889323	-0.3333333333333333	-1.1754225799118438	-0.17625891139169414
107	chr2	25403271	25403771	25403270	25403771	25403521	25403520	103	PBMC	2.65018	4.28105	0.18181818181818177	13	3	0	2	0	0.6666666666666666	1.3301929923478824	2.3539199548725755	1.0219030085200083	2.6498997436312144	-0.6666666666666666	-1.0237269625246932	-1.6279967351112061
108	chr2	25404161	25404661	25404160	25404661	25404411	25404410	673	PBMC	2.50654	4.06908	0.2948717948717948	13	3	0	1	0	0.3333333333333333	1.2720127323705004	1.4644238858403797	1.2719796374886336	1.156752109527588	-0.3333333333333333	-0.19241115346987936	0.11522752796104574
109	chr2	25419567	25420067	25419566	25420067	25419817	25419816	103	PBMC	3.85661	4.89261	0.5454545454545454	13	3	0	1	0	0.3333333333333333	1.5159843889191351	2.379241440308863	1.1855052790479983	2.5611657883354764	-0.3333333333333333	-0.863257051389728	-1.375660509287478
110	chr2	25421178	25421678	25421177	25421678	25421428	25421427	673	PBMC	3.36406	4.62813	0.5897435897435898	13	3	0	1	0	0.3333333333333333	1.319592300911717	1.3866735594873816	1.0977235511391463	1.208654665542458	-0.3333333333333333	-0.0670812585756646	-0.1109311144033116
111	chr2	25432402	25432902	25432401	25432902	25432652	25432651	566	AML	2.9053	4.79461	0.59375	13	3	1	1	0.07692307692307693	0.3333333333333333	1.1045575530119394	1.6515221174605592	0.9592711325891004	1.438555022675596	-0.2564102564102564	-0.54696456444861985	-0.47928389008649575
112	chr2	25447716	25448216	25447715	25448216	25447966	25447965	673	PBMC	2.3002	4.02493	0.1282051282051282	13	3	0	1	0	0.3333333333333333	1.5412666994215212	1.1695179741777584	1.097059464026354	0.7536415259043375	-0.3333333333333333	0.3717487252437628	0.3434179381220165
113	chr2	25463537	25464037	25463536	25464037	25463787	25463786	1360	AML	2.1995	4.18408	0.13793103448275867	13	3	1	0	0.07692307692307693	0	0.99687662839194	1.240425634606235	0.7108686836417801	1.4277991444288851	0.07692307692307693	-0.24354900621429498	-0.716930460787105
114	chr2	25473330	25473830	25473329	25473830	25473580	25473579	673	PBMC	2.3002	4.02493	0.11538461538461542	13	3	0	1	0	0.3333333333333333	0.787942077383987	1.6404788594839181	0.6388916274506651	1.2530211512438076	-0.3333333333333333	-0.8525367820999311	-0.6141295237931426
115	chr2	25478711	25479211	25478710	25479211	25478961	25478960	673	PBMC	3.04055	4.52805	0.5384615384615384	13	3	0	1	0	0.3333333333333333	0.8026637931985092	1.9208684056422272	0.827969448295182	1.5756885115495938	-0.3333333333333333	-1.118204612443718	-0.7477190632544117
116	chr2	25483481	25483981	25483480	25483981	25483731	25483730	546	AML	6.26262	6.34236	0.4722222222222222	13	3	3	0	0.23076923076923078	0	2.826408238797515	1.1399524018356821	2.1609998739170218	0.6318876617207023	0.23076923076923078	1.6864558369618328	1.5291122121963194
117	chr2	25495556	25496056	25495555	25496056	25495806	25495805	1360	AML	2.1995	4.1694	0	13	3	1	0	0.07692307692307693	0	1.0944836652353944	0.15860438148577213	1.0963253065973462	0	0.07692307692307693	0.9358792837496223	1.0963253065973462
118	chr2	25507203	25507703	25507202	25507703	25507453	25507452	673	PBMC	2.3002	4.02493	0.08974358974358976	13	3	0	1	0	0.3333333333333333	0.8048832127342535	1.3170506809841214	0.7252227665183549	0.771168073018392	-0.3333333333333333	-0.5121674682498679	-0.04594530650003703
119	chr2	25517716	25518216	25517715	25518216	25517966	25517965	270	AML	2.56555	4.42053	0.1333333333333333	13	3	1	0	0.07692307692307693	0	0.9726382172933175	0.7632821367648309	0.9897958232971009	0.747510264257709	0.07692307692307693	0.20935608052848653	0.24228555903939197
120	chr2	25518591	25519091	25518590	25519091	25518841	25518840	673	PBMC	3.04055	4.52805	0.5256410256410257	13	3	0	1	0	0.3333333333333333	0.85427449779285	1.679869358371435	0.8418578873137514	1.8432329454107912	-0.3333333333333333	-0.825594860578585	-1.0013750580970397
121	chr2	25522027	25522527	25522026	25522527	25522277	25522276	546	AML	9.96727	8.05848	0.7222222222222222	13	3	4	3	0.3076923076923077	1	4.177520046636071	3.031559481473264	2.2817499385384505	3.0774330013764355	-0.6923076923076923	1.1459605651628073	-0.795683062837985
122	chr2	25524545	25525045	25524544	25525045	25524795	25524794	566	AML	2.06497	4.19528	0.0625	13	3	1	0	0.07692307692307693	0	0.957703078303783	0.8836508055012462	0.8885674645562848	1.274533239667287	0.07692307692307693	0.07405227280253679	-0.3859657751110023
123	chr2	25551490	25551990	25551489	25551990	25551740	25551739	1360	AML	3.14794	4.78181	0.6206896551724138	13	3	1	0	0.07692307692307693	0	1.332906663060902	0.7395132771350508	1.5445466955264886	0.7100743412257668	0.07692307692307693	0.5933933859258513	0.8344723543007218
124	chr2	25557203	25557703	25557202	25557703	25557453	25557452	673	PBMC	3.87427	5.03116	0.717948717948718	13	3	0	1	0	0.3333333333333333	1.6811804514262199	2.2638425754057274	1.262787630458078	2.688285835250885	-0.3333333333333333	-0.5826621239795076	-1.4254982047928069
125	chr2	25558232	25558732	25558231	25558732	25558482	25558481	546	AML	20.47531	10.87876	0.8888888888888888	13	3	7	1	0.5384615384615384	0.3333333333333333	6.417612881278289	3.204254059456859	4.338590709035268	1.1037878063386548	0.20512820512820512	3.2133588218214295	3.2348029026966127
126	chr2	25566665	25567165	25566664	25567165	25566915	25566914	027	AML	3.09886	4.88133	1	13	3	3	1	0.23076923076923078	0.3333333333333333	3.3222507730014272	2.320781983618568	2.8831538402153822	1.5180178973489178	-0.10256410256410253	1.001468789382859	1.3651359428664644
127	chr2	25567378	25567878	25567377	25567878	25567628	25567627	1360	AML	3.62183	5.01197	0.7241379310344828	13	3	5	1	0.38461538461538464	0.3333333333333333	3.4559467751072352	2.2730496372291427	2.4078953194760992	1.5582105689895842	0.05128205128205132	1.1828971378780926	0.849684750486515
128	chr2	25568822	25569322	25568821	25569322	25569072	25569071	673	PBMC	2.87354	4.35667	0.4358974358974359	13	3	0	1	0	0.3333333333333333	1.1244186908075304	1.1689777795426146	0.5298838120496677	0.6318879125123015	-0.3333333333333333	-0.044559088735084185	-0.10200410046263375
129	chr2	25587179	25587679	25587178	25587679	25587429	25587428	027	AML	2.1039	4.184	0.2857142857142857	13	3	2	1	0.15384615384615385	0.3333333333333333	1.8136723315351555	1.6033473238497675	1.8215319068132045	1.5423381257199955	-0.17948717948717946	0.21032500768538798	0.279193781093209
130	chr2	25615873	25616373	25615872	25616373	25616123	25616122	472	AML	2.69452	4.89271	0.5714285714285714	13	3	1	0	0.07692307692307693	0	1.047019967025424	1.0941909703110666	0.5707704759167578	0.8308496132582247	0.07692307692307693	-0.0471710032856425	-0.2600791373414669
131	chr2	25639834	25640334	25639833	25640334	25640084	25640083	673	PBMC	3.87427	5.03116	0.7051282051282051	13	3	0	1	0	0.3333333333333333	1.132760393533512	2.1424207348706164	1.2555614198277334	1.6442541179066885	-0.3333333333333333	-1.0096603413371044	-0.3886926980789551
132	chr2	25643017	25643517	25643016	25643517	25643267	25643266	673	PBMC	2.3002	4.02493	0.05128205128205132	13	3	0	1	0	0.3333333333333333	1.0649939279813985	1.5949546426276882	1.1222261759097467	1.542336146036784	-0.3333333333333333	-0.5299607146462897	-0.4201099701270372
133	chr2	25655500	25656000	25655499	25656000	25655750	25655749	673	PBMC	3.87427	5.03116	0.6923076923076923	13	3	0	1	0	0.3333333333333333	0.8037031069889827	1.5267776900422787	0.6402800145025501	0.9411108803130434	-0.3333333333333333	-0.723074583053296	-0.30083086581049323
134	chr2	25664641	25665141	25664640	25665141	25664891	25664890	673	PBMC	4.7868	5.53428	0.8205128205128205	13	3	2	1	0.15384615384615385	0.3333333333333333	1.9799716196063109	1.899685195423489	2.032138892276558	0.7361149787902832	-0.17948717948717946	0.08028642418282184	1.296023913486275
135	chr2	25673243	25673743	25673242	25673743	25673493	25673492	673	PBMC	9.24155	6.52337	0.9358974358974359	13	3	11	3	0.8461538461538461	1	8.858366275737861	22.30208507634288	6.619383373184356	15.617067165717394	-0.15384615384615385	-13.44371880060502	-8.997683792533039
136	chr2	25673888	25674388	25673887	25674388	25674138	25674137	773	AML	2.60698	4.23146	0.033333333333333326	13	3	5	2	0.38461538461538464	0.6666666666666666	4.233759377219793	4.409199176117014	3.4236526070478672	3.921744659275352	-0.282051282051282	-0.17543979889722117	-0.49809205222748476
137	chr2	25687485	25687985	25687484	25687985	25687735	25687734	673	PBMC	2.3002	4.02493	0.038461538461538436	13	3	0	1	0	0.3333333333333333	0.8323439112753614	1.0125481114733323	0.5083352182201759	1.0486666361490886	-0.3333333333333333	-0.1802042001979709	-0.5403314179289127
138	chr2	25690485	25690985	25690484	25690985	25690735	25690734	673	PBMC	3.04055	4.52805	0.5128205128205128	13	3	0	1	0	0.3333333333333333	1.0396293712507905	1.0703288920704557	0.9442713631841237	1.214032521147928	-0.3333333333333333	-0.030699520819665205	-0.2697611579638042
139	chr2	25700091	25700591	25700090	25700591	25700341	25700340	027	AML	2.1039	4.184	0.2142857142857143	13	3	2	1	0.15384615384615385	0.3333333333333333	2.015708372978393	1.936592833565936	1.7602483098378439	1.7907981470435441	-0.17948717948717946	0.07911553941245719	-0.03054983720570026
140	chr2	25713851	25714351	25713850	25714351	25714101	25714100	103	PBMC	3.76364	4.96369	0.5151515151515151	13	3	0	2	0	0.6666666666666666	1.000743041294027	1.6153795741354713	0.8321086889255547	2.3051385812892646	-0.6666666666666666	-0.6146365328414443	-1.47302989236371
141	chr2	25724823	25725323	25724822	25725323	25725073	25725072	673	PBMC	2.3002	4.02493	0.012820512820512775	13	3	0	1	0	0.3333333333333333	1.0779036180079486	1.5658751662699129	0.8601005167780285	1.0728670653706778	-0.3333333333333333	-0.4879715482619642	-0.21276654859264932
142	chr2	25739382	25739882	25739381	25739882	25739632	25739631	673	PBMC	3.83574	4.81443	0.6666666666666667	13	3	0	1	0	0.3333333333333333	0.9539007166646216	1.3775292489422375	0.8588842160687475	1.1683211606181787	-0.3333333333333333	-0.4236285322776159	-0.30943694454943116
143	chr2	25740991	25741491	25740990	25741491	25741241	25741240	546	AML	5.28029	5.58121	0.36111111111111116	13	3	1	0	0.07692307692307693	0	1.7772265099424858	1.1004319369436024	1.2676381493756872	0.7010618845621744	0.07692307692307693	0.6767945729988833	0.5665762648135128
144	chr2	25743060	25743560	25743059	25743560	25743310	25743309	990	AML	5.93865	5.97989	0.5294117647058824	13	3	4	0	0.3076923076923077	0	3.596664444341942	1.6055137392527568	2.769173290677175	1.5423367313758103	0.3076923076923077	1.9911507050891852	1.2268365593013648
145	chr2	25743721	25744221	25743720	25744221	25743971	25743970	566	AML	4.13362	5.50176	0.8125	13	3	2	0	0.15384615384615385	0	2.3397743707059733	1.443506362433443	2.119535248198671	1.507283051808675	0.15384615384615385	0.8962680082725303	0.6122521963899958
146	chr2	25756609	25757109	25756608	25757109	25756859	25756858	773	AML	7.33823	7.02543	0.7666666666666666	13	3	4	0	0.3076923076923077	0	2.8125633380937627	0.9623195983454614	1.6341012328446745	1.0123656503930538	0.3076923076923077	1.8502437397483011	0.6217355824516206
147	chr2	25793568	25794068	25793567	25794068	25793818	25793817	673	PBMC	3.87427	5.03116	0.6794871794871795	13	3	0	1	0	0.3333333333333333	0.7193653606588749	1.390143909060947	0.5707704759167578	1.0445824031106488	-0.3333333333333333	-0.6707785484020722	-0.473811927193891
148	chr2	25794515	25795015	25794514	25795015	25794765	25794764	576	PBMC	2.67184	4.26929	0.1578947368421053	13	3	1	1	0.07692307692307693	0.3333333333333333	1.396753006810218	2.415297359446248	1.1601666228737897	1.8418893676080152	-0.2564102564102564	-1.01854435263603	-0.6817227447342256
149	chr2	25818959	25819459	25818958	25819459	25819209	25819208	673	PBMC	3.04055	4.52805	0.5	13	3	0	1	0	0.3333333333333333	0.8839840321026144	1.3434279403207465	0.6632465252619304	1.8459219800497957	-0.3333333333333333	-0.4594439082181321	-1.1826754547878653
150	chr2	25822074	25822574	25822073	25822574	25822324	25822323	546	AML	11.41371	8.92721	0.7777777777777778	13	3	4	2	0.3076923076923077	0.6666666666666666	3.3174603278966757	3.503665835359298	2.047102041587144	2.873078535059969	-0.3589743589743589	-0.18620550746262232	-0.8259764934728246
151	chr2	25831710	25832210	25831709	25832210	25831960	25831959	1360	AML	2.86968	4.58558	0.48275862068965514	13	3	2	0	0.15384615384615385	0	1.1286894954808495	0.9351156436833872	0.8312614837330496	0.5622293206745993	0.15384615384615385	0.19357385179746234	0.26903216305845035
